Accession,Gene
IPI00791791,TRO
IPI00791793,FLJ30375
IPI00791794,DIAPH3
IPI00791798,LRRC34
IPI00791808,ARHGAP26
IPI00791814,TAC4
IPI00791816,MBD4
IPI00791825,PRSS50
IPI00791832,CBFA2T2
IPI00791836,CCNL1
IPI00791839,LSS
IPI00791842,CAPN3
IPI00791844,ARHGAP44
IPI00791847,SSR3
IPI00791851,RARA
IPI00791854,REEP6
IPI00791856,CLEC2D
IPI00791862,TBX3
IPI00791863,TESC
IPI00791876,SDS
IPI00791882,OS9
IPI00791885,USP3
IPI00791890,TRIM69
IPI00791891,RAD51D
IPI00791893,CSNK1G1
IPI00791894,GTPBP10
IPI00791903,TTC3
IPI00791906,PLCZ1
IPI00791910,PRCD
IPI00791914,MIR1248;SNORA4;SNORD2;EIF4A2;SNORA81;SNORA63
IPI00791916,COMMD2
IPI00791919,ATF6B
IPI00791924,MYLK
IPI00791929,DVL3
IPI00791933,CNOT10
IPI00791934,TRO
IPI00791936,CCDC14
IPI00791950,ATP13A4
IPI00791952,KLC2
IPI00791954,STARD3
IPI00791955,CCNE2
IPI00791960,STK38L
IPI00791961,ARL1
IPI00791973,EDN3
IPI00791980,CC2D2A
IPI00791982,PTPRO
IPI00791993,SOX5
IPI00791995,CCL15
IPI00791997,IMPA1
IPI00791998,MX2
IPI00792002,TMEM147
IPI00792003,ADAM3A
IPI00792004,CHPT1
IPI00792009,CEP89
IPI00792010,C15orf17
IPI00792011,CAPS
IPI00792017,SLFN12
IPI00792018,GRIK1
IPI00792023,ARIH2
IPI00792024,FETUB
IPI00792032,ABCB1
IPI00792035,GLOD4
IPI00792036,MLH1
IPI00792041,CYYR1
IPI00792043,SNORD84;DDX39B
IPI00792045,IL5RA
IPI00792050,RPL8
IPI00792058,LOC388813
IPI00792061,KAT7
IPI00792065,TOR1AIP1
IPI00792070,SERPINB10
IPI00792072,SEPT5
IPI00792074,GOLT1B
IPI00792077,ARHGEF3
IPI00792079,FLOT1
IPI00792088,ACTL6A
IPI00792090,LILRA6
IPI00792092,PDCD10
IPI00792093,C21orf91
IPI00792095,COPZ1
IPI00792104,VARS2
IPI00792109,CCDC43
IPI00792113,TMEM108
IPI00792115,CLEC3B
IPI00792123,WIPF2
IPI00792132,MDC1
IPI00792134,SPAG11B
IPI00792135,ATP5H
IPI00792158,EFCAB1
IPI00792175,MRPS22
IPI00792177,TMEM182
IPI00792179,HLA-DQB1
IPI00792180,TMEM66
IPI00792183,CCL4L1;CCL4;CCL4L2
IPI00792186,ABCF1
IPI00792192,AKNA
IPI00792193,PID1
IPI00792205,DSCAML1
IPI00792206,NISCH
IPI00792207,ALDH2
IPI00792208,ESRRA
IPI00792211,GABARAPL1
IPI00792218,PSMA4
IPI00792219,CCDC64
IPI00792225,SERPINB13
IPI00792227,PTH2
IPI00792233,MCF2L2
IPI00792235,SLC46A3
IPI00792237,CEP70
IPI00792257,NOTCH4
IPI00792264,AGPAT3
IPI00792266,IFLTD1
IPI00792272,TMEM117
IPI00792278,DDX47
IPI00792279,CCHCR1
IPI00792280,TNNC1
IPI00792282,RAD51C
IPI00792283,TRPM1
IPI00792290,WDR66
IPI00792295,TJP3
IPI00792298,VPS37A
IPI00792299,CRYAB
IPI00792312,INTS3
IPI00792323,C21orf91
IPI00792324,PLCZ1
IPI00792328,FTCD
IPI00792330,ARF4
IPI00792333,IBTK
IPI00792334,ATXN2
IPI00792339,DNMT3L
IPI00792344,FAM104A
IPI00792348,HLA-DMB
IPI00792349,TEX28
IPI00792355,FAM131A
IPI00792361,PCCB
IPI00792367,METTL8
IPI00792369,ARHGAP26
IPI00792372,GRAP
IPI00792375,ALDOC
IPI00792378,METTL16
IPI00792382,RSRC2
IPI00792386,CYP19A1
IPI00792392,IFT80
IPI00792395,POR
IPI00792405,TATDN1
IPI00792407,KCNJ15
IPI00792409,ALKBH6
IPI00792412,PHYH
IPI00792418,NCOR1
IPI00792419,SMC4
IPI00792422,FAM21A
IPI00792423,MED24
IPI00792427,RAD51AP2
IPI00792430,EEF1D
IPI00792431,LMOD3
IPI00792437,HAP1
IPI00792438,STAC
IPI00792445,MBP
IPI00792446,CDK2AP1
IPI00792448,ACSS1
IPI00792449,GTPBP10
IPI00792455,CSHL1
IPI00792464,RGS22
IPI00792478,TUBA8
IPI00792479,PARP10
IPI00792482,PRKAA1
IPI00792485,ST3GAL6
IPI00792487,B3GNT4
IPI00792498,ING4
IPI00792499,MCCC1
IPI00792502,ZNF624
IPI00792503,TAPBP
IPI00792510,SFTPC
IPI00792517,PARP9
IPI00792526,NGRN
IPI00792533,PGC
IPI00792538,APEX1
IPI00792540,CCDC144A
IPI00792542,ACY1
IPI00792543,ARL6IP4
IPI00792546,YAF2
IPI00792548,PRDM15
IPI00792549,RAD52
IPI00792552,FLJ31485
IPI00792557,ALPK2
IPI00792565,MPDU1
IPI00792567,FAM92A1
IPI00792572,C17orf51
IPI00792575,CWC25
IPI00792576,CLDND1
IPI00792585,ACPL2
IPI00792595,RFC4
IPI00792598,GADL1
IPI00792601,GRIK1
IPI00792607,SNRPA1
IPI00792611,CCDC165
IPI00792612,TMEM231
IPI00792617,TENC1
IPI00792627,KCNG1
IPI00792639,PTPN5
IPI00792644,USP16
IPI00792647,LSS
IPI00792650,LIN7B
IPI00792652,TMEM108
IPI00792653,GCET2
IPI00792657,FAM3D
IPI00792658,PHF15
IPI00792660,CCL25
IPI00792667,PNPO
IPI00792668,AADAC
IPI00792669,ZNF280D
IPI00792672,CBS
IPI00792674,WHSC1
IPI00792677,TUBA4A;TUBA1B
IPI00792679,FAM194A
IPI00792682,FAM122B
IPI00792684,PRMT2
IPI00792687,MCF2L2
IPI00792691,SYCP2
IPI00792693,PRMT5
IPI00792695,ZNF641
IPI00792702,MMP28
IPI00792703,DHX58
IPI00792708,BAG6
IPI00792713,WHSC1L1
IPI00792724,TFF3
IPI00792726,LILRA1
IPI00792728,NDUFA9
IPI00792734,ZNF773
IPI00792735,TTC3
IPI00792743,SLTM
IPI00792748,IER3
IPI00792752,RUNDC3A
IPI00792753,QARS
IPI00792754,MRAS
IPI00792755,CALCOCO1
IPI00792757,TAPBPL
IPI00792759,THSD4
IPI00792763,FLJ25363
IPI00792774,GNAS
IPI00792775,RECQL
IPI00792776,CCHCR1
IPI00792777,PDXK
IPI00792780,C12orf50
IPI00792792,LTBP4
IPI00792793,SETD4
IPI00792796,PYROXD1
IPI00792805,HLA-DMB
IPI00792819,ATP5G2
IPI00792821,MLF1
IPI00792826,TMEM187
IPI00792827,IL17RC
IPI00792829,DDX47
IPI00792832,KCNU1
IPI00792833,RAB24
IPI00792837,ZNF207
IPI00792838,C19orf42
IPI00792839,VMP1
IPI00792840,ATG3
IPI00792841,KRT7
IPI00792848,GALNT6
IPI00792849,GSG1
IPI00792853,RAPGEF3
IPI00792860,SEC13
IPI00792861,C20orf43
IPI00792875,SERPINB5
IPI00792876,NISCH
IPI00792889,STX1A
IPI00792891,FGFR1
IPI00792893,PLP1
IPI00792894,C17orf98
IPI00792899,XRN1
IPI00792902,WDR48
IPI00792903,MED24
IPI00792904,KIAA0430
IPI00792907,STAT6
IPI00792908,ISY1
IPI00792910,GPANK1
IPI00792916,PRKCSH
IPI00792933,ZNF462
IPI00792936,PNPLA1
IPI00792937,DERA
IPI00792939,SCML1
IPI00792941,PLP1
IPI00792947,TMPRSS3
IPI00792950,ALDH1L1
IPI00792953,ZNF829
IPI00792960,CAMKK1
IPI00792971,IDH3A
IPI00792977,TMEM99
IPI00792986,SLC4A8
IPI00792990,GINS4
IPI00792992,RAB37
IPI00792993,ZNF385A
IPI00792996,INTS10
IPI00792997,ABCC9
IPI00793000,RDM1
IPI00793007,KCNJ15
IPI00793009,LTN1
IPI00793010,MLC1
IPI00793014,FAM138E
IPI00793031,DCBLD2
IPI00793044,HAP1
IPI00793046,C17orf39
IPI00793050,PLEKHG6
IPI00793055,MBP
IPI00793056,ARHGAP40
IPI00793058,AMT
IPI00793060,NCOR1
IPI00793064,TMCC1
IPI00793065,SCO1
IPI00793075,ING4
IPI00793076,GTF2A2
IPI00793078,TUBGCP4
IPI00793080,C14orf21
IPI00793082,AKAP9
IPI00793090,FAM83G
IPI00793092,C20orf118
IPI00793098,CHMP2B
IPI00793099,CACNA1C
IPI00793102,RPL35A
IPI00793106,KIAA0748
IPI00793108,CP
IPI00793111,SYDE1
IPI00793114,FAM107A
IPI00793115,TBCCD1
IPI00793116,CLDND1
IPI00793128,SLA
IPI00793132,GSDMD
IPI00793141,MAPK3
IPI00793144,C3orf65
IPI00793155,RAB34
IPI00793163,SMARCC2
IPI00793166,SPARCL1
IPI00793175,KLC2
IPI00793182,UNC79
IPI00793184,PRPH
IPI00793185,TMEM108
IPI00793187,ZNF586
IPI00793199,ANXA4
IPI00793200,REM2
IPI00793201,AIMP1
IPI00793204,IFFO1
IPI00793205,SRSF9
IPI00793206,OS9
IPI00793209,UBL7
IPI00793222,IQCH
IPI00793228,BAD
IPI00793232,PNPO
IPI00793233,CCDC144A
IPI00793242,TMEM104
IPI00793245,ATG4C
IPI00793248,ZNF286A
IPI00793253,PIGL
IPI00793265,PCYT1A
IPI00793266,SPINLW1;SPINLW1-WFDC6
IPI00793270,PTK2
IPI00793277,CRTAP
IPI00793278,SPAG11B
IPI00793284,MYO1B
IPI00793286,ARHGAP19
IPI00793287,SLC47A2
IPI00793288,SLC25A45
IPI00793296,MDGA2
IPI00793299,BAG6
IPI00793306,HOXC6
IPI00793310,ZBTB11
IPI00793315,GLT1D1
IPI00793316,TBC1D3F;TBC1D3;TBC1D3B
IPI00793318,NAPSB
IPI00793319,GSTP1
IPI00793323,VARS
IPI00793324,CSF3
IPI00793327,GOLGA8B
IPI00793333,ATP1B3
IPI00793335,MRPS22
IPI00793340,WDYHV1
IPI00793342,RPL7P32;RPL7
IPI00793345,SYCP2
IPI00793347,NME9
IPI00793350,ST3GAL6
IPI00793355,FAM208A
IPI00793358,SLC11A2
IPI00793360,ANKRD26
IPI00793371,TRIM16L
IPI00793374,LSAMP-AS3
IPI00793375,XPNPEP1
IPI00793381,PSMD6
IPI00793382,CUX2
IPI00793384,ZNF619
IPI00793388,YWHAZ
IPI00793390,PHF1
IPI00793392,C17orf49
IPI00793395,CPNE8
IPI00793396,TMBIM4
IPI00793398,LY6E
IPI00793401,FLOT1
IPI00793404,IFI27
IPI00793405,ATF1
IPI00793407,TTC3
IPI00793410,HLCS
IPI00793414,C21orf91
IPI00793420,BMPR2
IPI00793427,CCDC25
IPI00793432,ESCO2
IPI00793433,PDXK
IPI00793438,ARID3B
IPI00793439,NTF3
IPI00793440,PLP1
IPI00793443,IPO5
IPI00793447,SEC13
IPI00793449,DTNA
IPI00793455,ARL8B
IPI00793456,LRFN1
IPI00793458,MSH5-C6orf26;MSH5
IPI00793463,SLC25A32
IPI00793465,NAA10
IPI00793467,MLF1
IPI00793477,AIFM3
IPI00793481,KALRN
IPI00793491,MRPL13
IPI00793493,PIP5K1A
IPI00793497,GPANK1
IPI00793502,ALDH1L1
IPI00793509,MAMDC4
IPI00793512,PAPL
IPI00793513,SMEK1
IPI00793519,PHACTR3
IPI00793522,MSLN
IPI00793523,RPL23A;SNORD4A
IPI00793533,LST1
IPI00793536,C3orf78
IPI00793540,PRMT2
IPI00793551,NUSAP1
IPI00793555,ROPN1B
IPI00793559,LAT2
IPI00793565,ISY1
IPI00793567,PDCD10
IPI00793568,GALNTL2
IPI00793569,ASB8
IPI00793570,RNF19A
IPI00793575,SMC4
IPI00793580,SGCZ
IPI00793581,TTBK1
IPI00793583,MORC1
IPI00793585,HHLA1
IPI00793589,RPN1
IPI00793594,MED24
IPI00793596,TESC
IPI00793599,ACADVL
IPI00793608,SLC12A8
IPI00793613,KLC2
IPI00793628,SHOX2
IPI00793629,MX1
IPI00793633,LOXL3
IPI00793638,C19orf68
IPI00793640,MRPL3
IPI00793641,KRT72
IPI00793647,NMNAT3
IPI00793649,MSLN
IPI00793653,NCOR1
IPI00793661,FBXL15
IPI00793668,KIAA0146
IPI00793669,FKBP11
IPI00793671,PDCD10
IPI00793673,ALDH1L1
IPI00793675,XIRP1
IPI00793676,PSMD6
IPI00793677,C21orf33
IPI00793679,FGF12
IPI00793681,ANKLE2
IPI00793685,FAM65A
IPI00793687,SUMO3
IPI00793691,SMPD4
IPI00793692,CELF6
IPI00793699,SMARCE1
IPI00793701,C12orf32
IPI00793704,C3orf32
IPI00793711,PIF1
IPI00793716,ADAM9
IPI00793717,C21orf59
IPI00793719,SNF8
IPI00793722,ARHGAP9
IPI00793724,NDUFAF3
IPI00793728,ISCU
IPI00793729,UBC
IPI00793735,RBM6
IPI00793740,HUNK
IPI00793748,ACAN
IPI00793751,MFAP4
IPI00793753,TLCD1
IPI00793754,PRIM1
IPI00793761,HAP1
IPI00793762,HMGA2
IPI00793764,ELMO3
IPI00793770,ARHGDIG
IPI00793780,TMCO5B
IPI00793789,SKAP1
IPI00793790,SOX5
IPI00793792,CACNA1C
IPI00793799,RAPGEF3
IPI00793800,STK33
IPI00793807,PARP11
IPI00793811,PTK2B
IPI00793812,LTA4H
IPI00793813,TRAF4
IPI00793819,GYG1
IPI00793823,BLCAP
IPI00793824,MCF2L
IPI00793841,BCAS1
IPI00793845,SFTPC
IPI00793846,CBLB
IPI00793855,CD96
IPI00793856,PRICKLE4
IPI00793858,KALRN
IPI00793862,SHMT1
IPI00793865,UTS2D
IPI00793867,DYSF
IPI00793871,SPDYE1
IPI00793881,SLFN12
IPI00793893,LEKR1
IPI00793895,FAN1
IPI00793901,ST3GAL5
IPI00793907,LPP
IPI00793911,CCDC92
IPI00793920,CDV3
IPI00793921,ACVR1B
IPI00793930,TUBA1B
IPI00793935,NBR1
IPI00793942,PPP5C
IPI00793943,EP400NL
IPI00793949,MARCH10
IPI00793951,PDE2A
IPI00793954,HACL1
IPI00793960,ANGPT2
IPI00793961,MICB
IPI00793966,ZNF420
IPI00793968,NCK1
IPI00793970,TPRA1
IPI00793973,MCF2L
IPI00793975,SERPINB8
IPI00793981,SMEK2
IPI00793983,PRMT5
IPI00793984,KRTAP10-7
IPI00793985,NAA50
IPI00793989,NCKAP1L
IPI00793994,IGF1
IPI00793997,IPO8
IPI00793999,TBC1D15
IPI00794000,EPS8
IPI00794001,C17orf57;ITGB3
IPI00794003,DIABLO
IPI00794009,TUBA4A
IPI00794011,SNX11
IPI00794013,LPP
IPI00794021,BICD1
IPI00794024,ENPP2
IPI00794025,ABHD14A
IPI00794034,MKS1
IPI00794036,BMP7
IPI00794038,TEX264
IPI00794048,PLSCR4
IPI00794050,TFDP2
IPI00794051,BRD2
IPI00794053,C15orf63
IPI00794054,STX16-NPEPL1;STX16
IPI00794061,SNORD54;RPS20
IPI00794069,RB1CC1
IPI00794072,LMO3
IPI00794076,SERF2
IPI00794077,SLC4A8
IPI00794078,PLP1
IPI00794081,CSTA
IPI00794082,BLMH
IPI00794086,PRKCE
IPI00794091,RPL23
IPI00794100,TNXB
IPI00794109,ZSCAN23
IPI00794110,YY1AP1
IPI00794111,OGFOD2
IPI00794113,RTN1
IPI00794121,RPL30
IPI00794128,COX11
IPI00794129,DDHD1
IPI00794130,APPL1
IPI00794134,TTC3
IPI00794140,TRO
IPI00794144,ZNF681
IPI00794153,TMCC1
IPI00794158,ATP5J
IPI00794166,SHANK1
IPI00794169,ANO10
IPI00794194,DRG2
IPI00794198,ATF7IP
IPI00794199,PRCD
IPI00794203,C3orf32
IPI00794207,SCHIP1;IQCJ-SCHIP1
IPI00794210,MRPL3
IPI00794212,NCOR1
IPI00794213,HMGCLL1
IPI00794221,DBN1
IPI00794236,C8orf74
IPI00794240,MRPL39
IPI00794252,CRELD2
IPI00794254,YWHAH
IPI00794257,TBC1D7
IPI00794259,LSM1
IPI00794262,RAD52
IPI00794264,ZFY
IPI00794266,DRAM1
IPI00794269,FAM92A1
IPI00794270,KIAA0146
IPI00794272,KRT72
IPI00794278,CDC27
IPI00794281,SREBF2
IPI00794284,ECT2
IPI00794288,MX1
IPI00794290,SDC2
IPI00794292,BMP7
IPI00794295,NPRL3
IPI00794300,CACNA1C
IPI00794304,TMEM117
IPI00794312,LOC728147
IPI00794313,AKT2
IPI00794316,C21orf33
IPI00794332,BCAS1
IPI00794334,OAZ3
IPI00794335,LRRC49
IPI00794338,RDH13
IPI00794347,LOC91948
IPI00794349,DLG1
IPI00794357,CACNA1C
IPI00794366,ERBB3
IPI00794370,PARP11
IPI00794373,MCF2L
IPI00794377,MANBAL
IPI00794378,SERPINB8
IPI00794382,HUNK
IPI00794383,PSMD6
IPI00794391,THSD4
IPI00794394,MAPK8IP1
IPI00794397,CHMP4A
IPI00794401,SFTPC
IPI00794405,CASC5
IPI00794410,SENP2
IPI00794417,HSPH1
IPI00794423,SLC1A2
IPI00794425,ZNF287
IPI00794430,LRRC32
IPI00794431,BLCAP
IPI00794432,KALRN
IPI00794435,ZFYVE20
IPI00794444,GYG1
IPI00794448,ADAM10
IPI00794450,LYNX1
IPI00794461,HIST1H2BN
IPI00794462,SLMAP
IPI00794464,XIRP1
IPI00794466,CRYAB
IPI00794467,TTC3
IPI00794469,CACNA2D2
IPI00794471,TRIM39-RPP21;TRIM39
IPI00794475,CCNE2
IPI00794482,PDE2A
IPI00794484,RANGRF
IPI00794485,CYB561
IPI00794495,MAP2K7
IPI00794497,HCFC2
IPI00794498,VPRBP
IPI00794499,ZNF880
IPI00794503,XPNPEP3
IPI00794507,MECOM
IPI00794508,GAPDH
IPI00794512,CALCOCO1
IPI00794515,DHX58
IPI00794516,C15orf57
IPI00794521,WDR62
IPI00794525,MT-CYB
IPI00794535,PLP1
IPI00794537,CLDN7
IPI00794542,SCAF11
IPI00794543,CALM3;CALM2;CALM1
IPI00794545,DUT
IPI00794549,SHMT2
IPI00794555,KIF15
IPI00794561,RAB2A
IPI00794563,COG1
IPI00794565,MANSC1
IPI00794566,SLMAP
IPI00794567,TAPBP
IPI00794568,ARMC8
IPI00794572,SHMT2
IPI00794580,PRMT5
IPI00794581,TMOD2
IPI00794590,FAM122B
IPI00794596,ZNF738
IPI00794602,GSG1
IPI00794607,MIR1248;SNORA4;SNORD2;EIF4A2;SNORA81;SNORA63
IPI00794608,ACTR8
IPI00794609,CBS
IPI00794610,DNAJC7
IPI00794613,TBC1D15
IPI00794614,DNASE1L3
IPI00794618,PTDSS1
IPI00794622,QTRTD1
IPI00794625,XIRP1
IPI00794626,STEAP2
IPI00794633,PLA1A
IPI00794641,DLG2
IPI00794643,RAE1
IPI00794644,KRT19
IPI00794648,TRO
IPI00794649,ARHGEF3
IPI00794652,XPC
IPI00794653,PARP16
IPI00794655,C3orf30
IPI00794656,STX16-NPEPL1;STX16
IPI00794659,SNORD54;RPS20
IPI00794661,CALML6
IPI00794663,TUBA4A
IPI00794668,CEP290
IPI00794673,CCT8
IPI00794674,TPH1
IPI00794675,HGD
IPI00794678,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00794679,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00794695,RASA2
IPI00794699,SDCBP
IPI00794701,C3orf26
IPI00794703,MLF1
IPI00794705,LILRB2
IPI00794706,RGS20
IPI00794711,ALS2CL
IPI00794722,RUNX1
IPI00794728,NME1;NME2;NME1-NME2
IPI00794735,LOC254559
IPI00794737,ABI3BP
IPI00794745,RPL30
IPI00794746,RPL7P32;RPL7
IPI00794747,ADAM5P
IPI00794749,ZNF140
IPI00794752,DIAPH3
IPI00794753,CNOT10
IPI00794757,CSF3
IPI00794761,CKAP2
IPI00794765,STAG2
IPI00794771,PCNT
IPI00794773,FAH
IPI00794774,BAZ2A
IPI00794775,LRRC37BP1
IPI00794777,PRDX2
IPI00794779,POLQ
IPI00794784,BLCAP
IPI00794787,POF1B
IPI00794791,IQCD
IPI00794793,CRELD2
IPI00794796,ADHFE1
IPI00794798,NCKAP5L
IPI00794805,PTTG1IP
IPI00794806,PDP1
IPI00794825,DNAJA4
IPI00794827,SAP30BP
IPI00794828,GPN3
IPI00794833,TIAM1
IPI00794835,LRRK2
IPI00794836,B9D1
IPI00794837,MX1
IPI00794843,SPTLC3
IPI00794844,NADK
IPI00794854,MED24
IPI00794856,CCDC165
IPI00794857,TIAM1
IPI00794858,NMD3
IPI00794859,ATAT1
IPI00794860,FBXO21
IPI00794866,OSBPL10
IPI00794869,RASSF8
IPI00794872,CACNA1G
IPI00794877,KALRN
IPI00794880,CHD7
IPI00794882,TET2
IPI00794883,RHOBTB2
IPI00794891,GAS2L3
IPI00794892,C20orf177
IPI00794894,RPL23A;SNORD4A
IPI00794896,JRK
IPI00794900,MTHFD1
IPI00794903,C21orf58
IPI00794907,GATA2
IPI00794911,COPG
IPI00794919,MED12L
IPI00794921,LOC79999
IPI00794929,C12orf71
IPI00794930,FAM59A
IPI00794932,SPAG11B
IPI00794935,PPFIBP1
IPI00794939,TCERG1L
IPI00794948,HGD
IPI00794951,MSRA
IPI00794952,VGLL4
IPI00794956,SCFD1
IPI00794958,FEZF2
IPI00794960,SCARA5
IPI00794974,WSB1
IPI00794977,VMO1
IPI00794978,MRPL47
IPI00794984,CCDC92
IPI00794992,EXOC7
IPI00794993,IQCG
IPI00794995,CACNB3
IPI00795001,MFN1
IPI00795006,STX16-NPEPL1;STX16
IPI00795011,MLH1
IPI00795015,SACS
IPI00795018,TMEM50B
IPI00795021,CDX1
IPI00795030,CERS6
IPI00795036,CNP
IPI00795043,SREBF1
IPI00795046,LOC285205
IPI00795057,MRPS28
IPI00795058,ZNF493
IPI00795070,C8orf58
IPI00795077,STRA13
IPI00795080,CS
IPI00795085,CCDC80
IPI00795097,ST7-OT4
IPI00795103,MDC1
IPI00795104,GRM2
IPI00795109,RANP1;RAN
IPI00795118,COL7A1
IPI00795122,ST3GAL4
IPI00795123,TFDP2
IPI00795140,RAD51D
IPI00795148,SLC11A2
IPI00795159,PMEL
IPI00795163,CDV3
IPI00795167,FCRL6
IPI00795168,ARHGAP26
IPI00795171,PUS1
IPI00795177,ACSL6
IPI00795180,FAM162A
IPI00795187,MAP2K2
IPI00795199,FAM171A1
IPI00795201,ASB8
IPI00795207,BAG6
IPI00795208,CAND2
IPI00795211,PPP1R1B
IPI00795212,XPNPEP3
IPI00795216,RPS6KB1
IPI00795224,RPS27;RPS27L
IPI00795230,LOC400043
IPI00795234,STX1A
IPI00795239,SGCZ
IPI00795241,ENOPH1
IPI00795246,RNF13
IPI00795247,WDYHV1
IPI00795249,C12orf43
IPI00795250,STEAP2
IPI00795255,NSMCE2
IPI00795257,GAPDH
IPI00795260,PAPLN
IPI00795262,PCNT
IPI00795263,DNAJC19
IPI00795271,SLC25A36
IPI00795280,FAM90A15
IPI00795283,GTF2A2
IPI00795287,C12orf29
IPI00795289,MX1
IPI00795290,CEP70
IPI00795292,NME1;NME2;NME1-NME2
IPI00795298,KNTC1
IPI00795302,MIER3
IPI00795303,RPL4
IPI00795305,AGPAT3
IPI00795307,HEG1
IPI00795318,MCM4
IPI00795321,ATP13A4
IPI00795326,LINGO1
IPI00795327,CD109
IPI00795334,CBR1
IPI00795335,RBM26
IPI00795336,KCNC3
IPI00795339,ARNTL2
IPI00795341,PPFIA2
IPI00795343,GLRA1
IPI00795354,LSM1
IPI00795355,COX10
IPI00795357,ANK1
IPI00795371,TEX264
IPI00795372,SLC11A1
IPI00795375,ULK3
IPI00795380,NMNAT3
IPI00795382,TTLL3
IPI00795383,MXD3
IPI00795384,TREML1
IPI00795385,C21orf33
IPI00795388,E2F5
IPI00795389,B9D1
IPI00795394,DNAH9
IPI00795397,MAPK10
IPI00795402,SETD4
IPI00795404,TMPRSS15
IPI00795406,SLMAP
IPI00795416,SLA
IPI00795418,SLC2A4
IPI00795420,NISCH
IPI00795423,PRPSAP2
IPI00795428,CCDC51
IPI00795429,ENDOU
IPI00795430,PPM1N
IPI00795434,PTTG1IP
IPI00795447,PARP6
IPI00795449,FOXP4
IPI00795454,CCDC57
IPI00795456,NISCH
IPI00795467,CGGBP1
IPI00795475,BORA
IPI00795476,MET
IPI00795481,LYPD1
IPI00795482,STAT1
IPI00795490,SERPINI2
IPI00795494,C12orf77
IPI00795498,MSRA
IPI00795501,FCGR3B
IPI00795502,CST8
IPI00795504,ALCAM
IPI00795507,SEC31A
IPI00795512,CCDC116
IPI00795515,TSSK4
IPI00795522,STK33
IPI00795525,SLC1A2
IPI00795528,C21orf59
IPI00795529,PSMD2
IPI00795534,ACPP
IPI00795544,GORAB
IPI00795545,EPS8L1
IPI00795549,ALDH3A1
IPI00795553,ARMC8
IPI00795557,SLC15A2
IPI00795558,ENY2
IPI00795559,CBS
IPI00795567,ITGB2
IPI00795570,VGLL4
IPI00795573,NECAP1
IPI00795574,C15orf23
IPI00795577,MUC4
IPI00795582,C12orf40
IPI00795583,KIAA0895L
IPI00795586,RNF112
IPI00795592,C17orf62
IPI00795595,ADAMTS9
IPI00795603,NRIP1
IPI00795608,IGSF10
IPI00795611,GIT1
IPI00795614,ZBTB22
IPI00795618,MYO1B
IPI00795622,GAPDH
IPI00795624,NELL2
IPI00795625,SLMO1
IPI00795627,MRPL3
IPI00795632,MKS1
IPI00795641,UBOX5
IPI00795646,STRA13
IPI00795648,HHLA3
IPI00795654,ATF7IP
IPI00795656,FAM18B2
IPI00795658,CLDND1
IPI00795659,TBC1D15
IPI00795671,RANP1;RAN
IPI00795674,GPR160
IPI00795675,GSG1
IPI00795679,CD47
IPI00795683,SNF8
IPI00795687,INPPL1
IPI00795692,ZNF543
IPI00795694,ACSS3
IPI00795697,IQCF3
IPI00795704,OGFOD2
IPI00795705,AIF1
IPI00795706,SLFN12
IPI00795714,CLEC2B
IPI00795719,KRT16
IPI00795721,TRAT1
IPI00795722,SNORD84;DDX39B
IPI00795734,ARHGDIG
IPI00795735,BOC
IPI00795736,FER1L4
IPI00795740,ZNF30
IPI00795748,ABCA13
IPI00795749,ZNF10
IPI00795751,RPL23
IPI00795753,CABP1
IPI00795756,RFC4
IPI00795770,TRO
IPI00795775,CRYAA
IPI00795778,BIN2
IPI00795780,TPTE
IPI00795782,C8orf44
IPI00795787,BAG6
IPI00795793,ARHGEF3
IPI00795801,CD109
IPI00795810,TTYH1
IPI00795811,WNT5A
IPI00795812,MIF4GD
IPI00795813,MLXIP
IPI00795814,VPS33A
IPI00795815,CDCA3
IPI00795816,SHMT2
IPI00795835,GPR171
IPI00795839,BMP7
IPI00795843,NOS1
IPI00795844,BPI
IPI00795847,FAM90A3
IPI00795848,SMEK2
IPI00795849,SERPINI2
IPI00795857,RPP14
IPI00795864,ERAL1
IPI00795867,AKT2
IPI00795870,MEI1
IPI00795872,KNTC1
IPI00795875,TNFRSF1A
IPI00795876,RNASE11
IPI00795880,TPCN1
IPI00795882,RASGRF1
IPI00795883,HEATR7B1
IPI00795884,TTC3
IPI00795887,NLRP8
IPI00795891,SH2B3
IPI00795892,PFN2
IPI00795893,DNAJC19
IPI00795895,ATP13A4
IPI00795898,KCNJ13
IPI00795900,PRRT1
IPI00795905,ZNF668
IPI00795906,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00795907,IL2RG
IPI00795909,HLA-DPA1
IPI00795912,LY9
IPI00795913,HPD
IPI00795915,VGLL4
IPI00795917,ALG13
IPI00795918,NCAM1
IPI00795920,EEF1D
IPI00795921,FGFR1OP2
IPI00795923,PCM1
IPI00795924,TMTC1
IPI00795930,IL1RL2
IPI00795935,INTS4
IPI00795936,MAP3K6
IPI00795939,STX16-NPEPL1;STX16
IPI00795952,YY1AP1
IPI00795953,STMN2
IPI00795955,OCA2
IPI00795958,KRT36
IPI00795961,NFS1
IPI00795962,DLG2
IPI00795966,BACH1
IPI00795974,ACAD11
IPI00795976,IAPP
IPI00795979,FLOT2
