Accession,Protein
IPI00001723,Q9P241
IPI00001726,Q9P2H5
IPI00001729,Q9Y5R2
IPI00001730,Q9Y613
IPI00001732,Q9Y5R5
IPI00001733,Q9Y5R6
IPI00001734,Q9Y617
IPI00001735,Q9Y618
IPI00001737,Q9BZM3
IPI00001738,Q99567
IPI00001743,Q63HK5
IPI00001753,Q9Y623
IPI00001754,Q9Y624
IPI00001755,Q9Y625
IPI00001757,Q9Y5S9
IPI00001758,Q5BJF6
IPI00001759,P78380
IPI00001762,O60890
IPI00001767,Q16827
IPI00001780,Q9Y5T5
IPI00001786,Q9P275
IPI00001790,Q9P278
IPI00001793,Q9Y644
IPI00001796,Q9Y5U5
IPI00001813,Q9P1Y6
IPI00001814,Q9P286
IPI00001824,Q9Y651
IPI00001835,Q9P1Z0
IPI00001845,Q9P298
IPI00001849,Q2YD98
IPI00001862,Q9Y5W3
IPI00001863,Q9Y5W5
IPI00001867,Q9Y5W9
IPI00001869,Q13219
IPI00001871,Q96IZ0
IPI00001872,Q9UN70
IPI00001883,Q9Y5X1
IPI00001885,Q9Y5X2
IPI00001888,Q9Y5X4
IPI00001891,Q9Y679
IPI00001893,O60245
IPI00001895,O95206
IPI00001914,Q9Y680
IPI00001921,Q9Y5Y4
IPI00001922,Q9Y5Y6
IPI00001923,Q9Y689
IPI00001933,Q9H0I3
IPI00001952,O94919
IPI00001954,Q9Y5Z0
IPI00001960,Q9Y696
IPI00001962,Q9Y698
IPI00001985,Q9P253
IPI00001999,O43482
IPI00002013,Q9H3H9
IPI00002061,Q9P203
IPI00002070,Q8IWT6
IPI00002127,Q9P2D7
IPI00002133,Q9Y6A2
IPI00002134,Q16401
IPI00002135,Q9Y6A5
IPI00002142,Q9P2E7
IPI00002144,Q9P2E8
IPI00002147,P36222
IPI00002149,Q9Y6B6
IPI00002150,Q9Y6B7
IPI00002157,Q9P2F5
IPI00002162,Q9Y6C7
IPI00002171,Q9HAB3
IPI00002183,P28221
IPI00002184,P28222
IPI00002185,P28223
IPI00002186,Q9Y6D5
IPI00002188,Q9Y6D6
IPI00002191,Q9H9K5
IPI00002203,Q9P287
IPI00002205,Q96B67
IPI00002208,Q96FJ0
IPI00002211,Q9H2E6
IPI00002212,Q9Y6E0
IPI00002214,P52292
IPI00002215,Q16445
IPI00002220,Q9H0E3
IPI00002221,Q5T011
IPI00002224,Q86V24
IPI00002225,Q9HA82
IPI00002230,Q6PIU2
IPI00002232,Q7L7X3
IPI00002234,Q8N307
IPI00002236,Q08431
IPI00002239,Q9Y6F9
IPI00002240,Q9BPY3
IPI00002243,P36269
IPI00002245,Q9H6R3
IPI00002249,Q9P2J3
IPI00002251,Q9P2J9
IPI00002252,P34810
IPI00002253,Q9Y6G1
IPI00002255,P50851
IPI00002265,Q6NT76
IPI00002270,Q9H993
IPI00002276,Q9UHV8
IPI00002277,Q9UHP7
IPI00002279,Q9UI38
IPI00002280,Q9UHG2
IPI00002283,Q9P2K9
IPI00002284,Q9UGP5
IPI00002288,Q9Y6H3
IPI00002293,Q9Y6H5
IPI00002294,Q9Y6H6
IPI00002305,Q9H607
IPI00002307,Q9NZ94
IPI00002311,Q0VDG4
IPI00002313,Q9BWT7
IPI00002316,Q9P0M4
IPI00002320,Q9NZU0
IPI00002324,Q9NZL9
IPI00002325,Q9NP87
IPI00002330,Q9Y6I4
IPI00002333,Q6ZUS5
IPI00002334,P42857
IPI00002335,P42858
IPI00002336,Q9H6L4
IPI00002344,Q9H8P0
IPI00002345,Q9HAE3
IPI00002347,Q9P2M4
IPI00002349,Q7Z417
IPI00002352,Q96A32
IPI00002354,Q68DU8
IPI00002355,Q9Y6J0
IPI00002360,Q9Y6J3
IPI00002366,Q9Y6J6
IPI00002370,Q08477
IPI00002372,P28288
IPI00002374,Q8NEM0
IPI00002375,P28289
IPI00002396,Q9P2N6
IPI00002398,Q9P2N7
IPI00002405,Q9Y6K5
IPI00002406,P50895
IPI00002408,Q9H6T3
IPI00002411,Q9Y6K9
IPI00002412,P50897
