Accession,Protein
IPI00295497,P29372
IPI00295501,Q9UFF9
IPI00295502,O95785
IPI00295503,O95786
IPI00295511,Q3SXM0
IPI00295519,Q6NW34
IPI00295525,Q9H3T3
IPI00295531,Q9H2W1
IPI00295542,Q02818
IPI00295550,Q14188
IPI00295556,P53539
IPI00295561,P09017
IPI00295575,P12107
IPI00295585,Q9UFW8
IPI00295595,Q5T4B2
IPI00295598,Q9BPX6
IPI00295601,Q8N111
IPI00295606,Q8N119
IPI00295611,Q8N123
IPI00295616,Q8N127
IPI00295618,P16284
IPI00295621,Q9Y241
IPI00295624,Q16643
IPI00295638,Q8N137
IPI00295640,Q8N139
IPI00295646,Q8N0U2
IPI00295658,Q8N0V1
IPI00295663,P09093
IPI00295681,Q8NF86
IPI00295694,Q00987
IPI00295696,Q8N0Y3
IPI00295698,Q8WY07
IPI00295701,Q8N187
IPI00295716,Q5JRV8
IPI00295737,Q9UGC7
IPI00295738,O43318
IPI00295741,P07858
IPI00295767,O95897
IPI00295771,P05108
IPI00295772,Q16850
IPI00295774,Q9UGH3
IPI00295777,P21695
IPI00295788,P27986
IPI00295813,Q6UXG2
IPI00295818,Q17RS7
IPI00295832,P23515
IPI00295849,P53611
IPI00295851,P53618
IPI00295854,Q8N1L4
IPI00295855,Q6P6B1
IPI00295857,P53621
IPI00295865,Q9UH36
IPI00295876,Q8TF46
IPI00295889,P09132
IPI00295898,Q3MJ40
IPI00295905,Q8N1Q8
IPI00295940,Q9UH99
IPI00295960,Q2M2E5
IPI00295968,Q6ZTU2
IPI00295976,P08514
IPI00295988,Q8N271
IPI00295992,Q9NVI7
IPI00295999,P20849
IPI00296004,O95907
IPI00296005,Q495D7
IPI00296020,Q8WXX0
IPI00296022,P07919
IPI00296036,O95936
IPI00296039,P09493
IPI00296043,O95947
IPI00296053,P07954
IPI00296058,O95967
IPI00296063,Q9UI33
IPI00296069,P29374
IPI00296078,Q9UHF7
IPI00296083,P07988
IPI00296091,Q9Y4J8
IPI00296099,P07996
IPI00296103,Q17RQ9
IPI00296114,Q9UHI5
IPI00296139,Q9UHL0
IPI00296141,Q9UHL4
IPI00296147,Q4V9L6
IPI00296153,Q8N2G6
IPI00296154,Q9NPA1
IPI00296156,Q8N2H3
IPI00296157,Q6NUM9
IPI00296161,Q01638
IPI00296164,Q01638
IPI00296165,P00736
IPI00296176,P00740
IPI00296180,P00749
IPI00296183,P30838
IPI00296190,Q9BRX8
IPI00296191,Q9UI12
IPI00296196,Q9UI17
IPI00296197,Q9H173
IPI00296199,Q8N609
IPI00296211,Q7RTS9
IPI00296214,O95460
IPI00296215,P16422
IPI00296219,Q9UI32
IPI00296244,P41594
IPI00296258,Q8NHS3
IPI00296259,Q7Z7H5
IPI00296277,Q9UHX3
IPI00296283,P53778
IPI00296286,Q9UIK5
IPI00296311,P53794
IPI00296318,A0AVK6
IPI00296333,Q9UKU0
IPI00296337,P78527
IPI00296340,Q8N371
IPI00296351,Q8N386
IPI00296353,Q8N392
IPI00296360,Q8N568
IPI00296365,Q02224
IPI00296370,Q9UIC8
IPI00296373,Q9UBS5
IPI00296374,O95159
IPI00296379,O14763
IPI00296380,O14763
IPI00296387,Q9UIF3
IPI00296388,Q9UIF9
IPI00296394,Q9UIG8
IPI00296421,Q8N3D4
IPI00296429,Q8N2H9
IPI00296432,Q96ST2
IPI00296434,O75093
IPI00296437,P55073
IPI00296441,P00813
IPI00296446,P55085
IPI00296449,Q9BQF6
IPI00296461,P17405
IPI00296480,P53816
IPI00296485,Q66K74
IPI00296495,Q9UJ37
IPI00296510,Q4G0P3
IPI00296524,Q6UWY0
IPI00296527,Q9UJ71
IPI00296528,Q9UJ72
IPI00296532,Q8N414
IPI00296533,Q7Z419
IPI00296534,P23142
IPI00296535,Q9UJ83
IPI00296536,Q9UIY3
IPI00296537,P23142
IPI00296538,P46663
IPI00296540,Q8N3S3
IPI00296542,P16581
IPI00296545,Q8N427
IPI00296554,Q5VZM2
IPI00296558,Q8N436
IPI00296561,Q8N441
IPI00296563,Q8N442
IPI00296579,A2A2V5
IPI00296591,O95198
IPI00296593,Q8N485
IPI00296594,Q8N488
IPI00296605,Q9HBG6
IPI00296608,P10643
IPI00296618,P25024
IPI00296635,Q04446
IPI00296640,Q8N4C9
IPI00296645,P55157
IPI00296654,Q8N4F0
IPI00296664,Q8N4G2
IPI00296668,Q9UJN7
IPI00296670,Q8N4H0
IPI00296678,Q13555
IPI00296696,Q9UK11
IPI00296713,P28799
IPI00296714,Q8N4M1
IPI00296724,Q8N4N3
IPI00296727,Q8N4N8
IPI00296736,Q3MII6
IPI00296752,Q14188
IPI00296772,Q9UJY4
IPI00296776,Q8N4S0
IPI00296777,Q14515
IPI00296784,Q8N4S9
IPI00296788,Q9UK97
IPI00296789,Q9UK99
IPI00296793,Q9P2N2
IPI00296798,Q8N539
IPI00296805,Q9H1Z9
IPI00296830,Q86V48
IPI00296840,Q9UNA4
IPI00296850,Q9UKC9
IPI00296858,Q5T3J3
IPI00296863,P32321
IPI00296869,P25116
IPI00296880,Q9P0N8
IPI00296897,Q9UKJ1
IPI00296902,Q02297
IPI00296907,Q15067
IPI00296909,Q9UKK3
IPI00296913,Q9UKK9
IPI00296922,P55268
IPI00296927,Q9UKL6
IPI00296934,Q8N5F7
IPI00296936,P48060
IPI00296938,Q8N5G2
IPI00296942,P55289
IPI00296947,Q9UKN5
IPI00296957,Q9H892
IPI00296965,Q9UKP5
IPI00296991,Q9UL19
IPI00296992,P30530
IPI00296999,Q8N5M1
IPI00297026,P09529
IPI00297030,Q9UL52
IPI00297037,O14494
IPI00297040,Q6UWN8
IPI00297045,Q9UL63
IPI00297056,Q9UBG3
IPI00297058,Q8N614
IPI00297084,P39656
IPI00297089,Q13023
IPI00297113,Q13049
IPI00297116,Q9H4M7
IPI00297119,Q8N661
IPI00297121,Q9BY42
IPI00297124,P40189
IPI00297138,Q15583
IPI00297139,O15068
IPI00297145,Q8N5Y2
IPI00297151,Q8N5Y8
IPI00297156,Q15080
IPI00297160,P16070
IPI00297162,Q8N5Z5
IPI00297164,Q8N699
IPI00297165,P32297
IPI00297169,Q13094
IPI00297180,Q9ULB4
IPI00297181,Q9ULB5
IPI00297188,O60241
IPI00297191,O60244
IPI00297208,Q9ULE4
IPI00297210,Q7Z7B0
IPI00297211,O60264
IPI00297212,Q9ULE6
IPI00297220,P36896
IPI00297224,O60279
IPI00297233,Q5VV63
IPI00297235,Q9ULG6
IPI00297241,O60287
IPI00297251,O60291
IPI00297252,Q8IWU5
IPI00297254,O60292
IPI00297257,O60296
IPI00297261,P18031
IPI00297263,Q9ULI3
IPI00297265,P55345
IPI00297277,Q9ULK6
IPI00297284,P18065
IPI00297288,Q2M1Z3
IPI00297289,Q70CQ4
IPI00297301,Q8N344
IPI00297315,P18089
IPI00297321,Q9NZU7
IPI00297322,Q8N6H7
IPI00297325,O14521
IPI00297333,Q9ULP9
IPI00297349,O14543
IPI00297351,O14544
IPI00297357,Q96BK5
IPI00297362,Q53EV4
IPI00297378,Q5HYR2
IPI00297381,Q6ICB4
IPI00297388,Q8WTR7
IPI00297395,Q8N6M9
IPI00297396,Q8N1G1
IPI00297407,Q5BKX6
IPI00297412,Q9ULU8
IPI00297415,Q8N1I0
IPI00297418,P09629
IPI00297419,P06401
IPI00297427,O14598
IPI00297430,Q8N6P7
IPI00297431,O75129
IPI00297440,Q9Y233
IPI00297444,Q8N6Q3
IPI00297449,P42701
IPI00297450,Q8N6Q8
IPI00297455,Q9ULX6
IPI00297462,Q8N715
IPI00297473,Q13114
IPI00297475,Q9P2X0
IPI00297477,P09661
IPI00297480,Q8N6S4
IPI00297487,P09668
IPI00297492,P46977
IPI00297522,Q96LK8
IPI00297532,P16157
IPI00297543,O43493
IPI00297550,P00488
IPI00297559,Q8N6Y0
IPI00297574,O60309
IPI00297578,Q4L180
IPI00297579,Q13185
IPI00297590,O00141
IPI00297593,Q70CQ2
IPI00297604,P61968
IPI00297617,O60346
IPI00297620,Q13324
IPI00297626,O00186
IPI00297629,O76001
IPI00297632,O76009
IPI00297633,P46100
IPI00297635,Q53FZ2
IPI00297641,O76015
IPI00297646,P02452
IPI00297655,Q04721
IPI00297656,Q14028
IPI00297659,Q04725
IPI00297677,O60391
IPI00297680,Q8N7B1
IPI00297683,Q8N7B6
IPI00297687,Q8N7C0
IPI00297690,Q9C0I9
IPI00297694,P78317
IPI00297702,Q5M7Z0
IPI00297704,Q52M58
IPI00297714,O76070
IPI00297723,P78332
IPI00297725,P78334
IPI00297740,P20366
IPI00297763,P78363
IPI00297767,P78368
IPI00297779,P78371
IPI00297780,O43196
IPI00297795,P78385
IPI00297845,Q13469
IPI00297851,O14646
IPI00297858,O14684
IPI00297859,O14686
IPI00297860,P41002
IPI00297875,Q5T7P6
IPI00297876,Q8N7Q2
IPI00297880,P26010
IPI00297900,Q13206
IPI00297910,P09758
IPI00297913,Q9UN88
IPI00297921,Q8N823
IPI00297931,Q9UMZ2
IPI00297933,Q13224
IPI00297937,Q494V2
IPI00297940,Q8N841
IPI00297953,Q4G112
IPI00297954,Q8N852
IPI00297959,Q96L34
IPI00297973,Q8N865
IPI00297981,O00219
IPI00297982,P41091
IPI00297989,Q8N7X4
IPI00297991,Q9UKV3
IPI00298003,Q13275
IPI00298007,Q8N884
IPI00298016,Q9Y2R2
IPI00298022,O00237
IPI00298039,Q92985
IPI00298041,Q92985
IPI00298057,O60437
IPI00298058,O00267
IPI00298067,Q5T2W1
IPI00298090,Q13554
IPI00298105,P29320
IPI00298106,Q8N8A8
IPI00298111,Q9UNH7
IPI00298136,Q8N8D0
IPI00298147,Q9UNK9
IPI00298158,Q8N8F6
IPI00298176,P18283
IPI00298182,P48378
IPI00298199,O14730
IPI00298202,O14734
IPI00298207,Q96EW2
IPI00298214,Q9UNQ0
IPI00298218,O14746
IPI00298235,Q9Y6A1
IPI00298237,O14773
IPI00298246,P39900
IPI00298252,P10082
IPI00298264,Q86V42
IPI00298267,P23219
IPI00298268,P23219
IPI00298281,P11047
IPI00298285,P21860
IPI00298289,Q9NQC3
IPI00298292,Q13308
IPI00298301,P11055
IPI00298305,P41143
IPI00298306,Q13315
IPI00298308,Q3SY69
IPI00298337,Q13336
IPI00298345,P34925
IPI00298347,Q06124
IPI00298348,Q8N573
IPI00298353,Q8N8V2
IPI00298362,O00300
IPI00298373,Q6P1L5
IPI00298388,Q96FE7
IPI00298398,Q8N976
IPI00298405,Q96B96
IPI00298406,Q16836
IPI00298409,Q13371
IPI00298410,O00329
IPI00298417,Q8N3Y3
IPI00298421,Q5VZB9
IPI00298423,O00330
IPI00298424,Q6XE24
IPI00298441,O00341
IPI00298447,Q13395
IPI00298476,O60565
IPI00298497,P02675
IPI00298502,Q8N9B4
IPI00298518,P78524
IPI00298535,Q8N9F7
IPI00298536,Q8N9F8
IPI00298547,Q99497
IPI00298558,Q9BUL8
IPI00298586,Q9UBL9
IPI00298609,Q49A92
IPI00298612,O14874
IPI00298618,Q8N9N8
IPI00298622,P09923
IPI00298625,P07948
IPI00298650,Q9UP79
IPI00298653,P41231
IPI00298662,Q9UFG5
IPI00298696,Q13428
IPI00298700,P42263
IPI00298702,Q13433
IPI00298724,Q6ZN68
IPI00298726,P41279
IPI00298731,Q96QC0
IPI00298738,O00411
IPI00298743,Q13467
IPI00298758,O60602
IPI00298788,Q12906
IPI00298789,Q12906
IPI00298793,O00462
IPI00298800,P02724
IPI00298817,Q59EK9
IPI00298828,P02749
IPI00298851,P48509
IPI00298860,P02788
IPI00298865,P48544
IPI00298870,P48553
IPI00298876,O14905
IPI00298883,Q9UPN4
IPI00298896,P49761
IPI00298902,Q9UPP5
IPI00298910,O75604
IPI00298912,Q9UQ03
IPI00298925,Q15542
IPI00298926,Q15542
IPI00298928,Q9UQ13
IPI00298933,O14958
IPI00298935,Q7LBC6
IPI00298940,O14965
IPI00298944,O15119
IPI00298946,O14972
IPI00298947,Q5EB52
IPI00298949,O14976
IPI00298951,O14978
IPI00298955,Q12979
IPI00298956,Q6MZW2
IPI00298961,O14980
IPI00298971,P04004
IPI00298980,P11229
IPI00298984,O14994
IPI00298986,P11230
IPI00298990,Q9NS61
IPI00298991,Q2M389
IPI00298994,Q9Y490
IPI00299000,Q9UQ80
IPI00299003,Q9UPY6
IPI00299007,Q13515
IPI00299010,Q9UQ90
IPI00299014,Q13522
IPI00299024,P80723
IPI00299033,O00505
IPI00299037,O43497
IPI00299039,Q13562
IPI00299040,Q13563
IPI00299048,Q13576
IPI00299057,P57057
IPI00299059,O00533
IPI00299062,Q13585
IPI00299063,Q13586
IPI00299066,O60711
IPI00299069,P57073
IPI00299076,O00559
IPI00299078,P02810
IPI00299083,P57087
IPI00299084,P57088
IPI00299085,O60732
IPI00299086,O00560
IPI00299088,Q9UQB8
IPI00299094,Q9UQC9
IPI00299095,O60749
IPI00299116,O00592
IPI00299122,P18505
IPI00299145,P48668
IPI00299147,P55854
IPI00299149,P61956
IPI00299150,P25774
IPI00299155,P25789
IPI00299158,P15151
IPI00299162,P55895
IPI00299166,Q92844
IPI00299169,Q5TGY1
IPI00299177,Q9BXW7
IPI00299181,Q13607
IPI00299182,Q13608
IPI00299193,P57105
IPI00299214,P04183
IPI00299219,O00622
IPI00299224,O00626
IPI00299240,Q13698
IPI00299244,O60829
IPI00299254,O60841
IPI00299263,Q9NP61
IPI00299297,O60895
IPI00299299,P48723
IPI00299300,P48728
IPI00299301,O15061
IPI00299302,O15061
IPI00299306,P25874
IPI00299307,P48740
IPI00299313,Q9Y5K5
IPI00299315,Q9NPA1
IPI00299333,Q9NPC8
IPI00299362,O60941
IPI00299387,Q9NPL8
IPI00299399,P04271
IPI00299402,P11498
IPI00299404,Q13751
IPI00299406,P41586
IPI00299412,P48960
IPI00299413,Q06546
IPI00299417,Q13769
IPI00299425,Q9NPR9
IPI00299427,Q9UMX9
IPI00299435,Q13790
IPI00299443,Q9NQ31
IPI00299456,O00757
IPI00299463,O60934
IPI00299465,Q9NQ48
IPI00299468,O00767
IPI00299472,Q5TAT6
IPI00299475,Q9NQ60
IPI00299485,Q9NPY3
IPI00299499,Q9NQ94
IPI00299501,Q2M3M2
IPI00299503,P80108
IPI00299506,Q06210
IPI00299507,Q15003
IPI00299512,P21359
IPI00299517,Q15018
IPI00299520,Q93038
IPI00299524,Q15021
IPI00299526,Q15022
IPI00299547,P80188
IPI00299554,Q15058
IPI00299568,P11509
IPI00299571,Q15084
IPI00299573,P62424
IPI00299576,Q4KN68
IPI00299584,Q9C019
IPI00299585,Q9C019
IPI00299590,Q13332
IPI00299594,O14786
IPI00299608,Q99460
IPI00299615,P22888
IPI00299619,Q5T1Q4
IPI00299627,Q9NRD8
IPI00299652,O75078
IPI00299653,O75078
IPI00299659,Q9NR23
IPI00299664,Q9H158
IPI00299667,O75379
IPI00299679,Q9NZL6
IPI00299681,Q9NQV6
IPI00299699,Q9NQX5
IPI00299702,Q8NFR7
IPI00299719,Q13488
IPI00299724,O00241
IPI00299729,P20061
IPI00299738,Q15113
IPI00299749,P17020
IPI00299755,Q8NEB9
IPI00299758,Q9NRB3
IPI00299760,Q9NRC1
IPI00299763,Q9UKW4
IPI00299778,Q15166
IPI00299784,Q9NRE1
IPI00299802,Q9NZC7
IPI00299824,Q969H4
IPI00299830,Q9NRH3
IPI00299850,Q9NRJ2
IPI00299853,Q9NRJ7
IPI00299880,Q9NPA1
IPI00299881,Q13939
IPI00299884,Q9BVC3
IPI00299888,Q9NRN9
IPI00299890,Q06730
IPI00299904,P33993
IPI00299911,Q969R8
IPI00299921,Q969S0
IPI00299937,Q9UMR7
IPI00299946,Q9NS40
IPI00299952,Q969V1
IPI00299977,Q9NRX4
IPI00299994,P28906
IPI00300018,O95831
IPI00300020,P43004
IPI00300026,P50225
IPI00300027,P50226
IPI00300046,Q15238
IPI00300050,P80365
IPI00300052,Q9NSB2
IPI00300053,Q9NSB4
IPI00300060,Q9NW82
IPI00300073,Q86UQ0
IPI00300074,Q9NSD9
IPI00300078,Q15269
IPI00300086,Q15274
IPI00300094,Q9H089
IPI00300096,Q15286
IPI00300117,Q01118
IPI00300127,Q9H0A0
IPI00300178,Q06889
IPI00300186,Q53R41
IPI00300207,Q6ZU11
IPI00300213,Q6ZN04
IPI00300222,Q8WY36
IPI00300241,Q9NT99
IPI00300242,Q9BSJ5
IPI00300244,Q9H0M4
IPI00300273,Q8NCB2
IPI00300277,P20265
IPI00300278,Q96G25
IPI00300299,P61009
IPI00300321,Q15349
IPI00300332,Q9H165
IPI00300333,Q8N7H5
IPI00300341,Q15369
IPI00300371,Q15393
IPI00300376,Q08188
IPI00300384,P04626
IPI00300386,Q13098
IPI00300393,Q8NA19
IPI00300396,Q9BWV2
IPI00300407,P34741
IPI00300408,Q9NTM9
IPI00300415,Q8N431
IPI00300426,Q8NA56
IPI00300439,Q9UHP3
IPI00300446,P53675
IPI00300452,Q9NU02
IPI00300466,Q8IXS2
IPI00300468,Q8NCV1
IPI00300502,Q9NP98
IPI00300504,Q9HAU5
IPI00300531,Q99933
IPI00300536,Q8NAA4
IPI00300542,Q9H1M0
IPI00300558,P41235
IPI00300562,P20337
IPI00300564,Q8NAC3
IPI00300567,P42126
IPI00300568,P17600
IPI00300569,Q5T0J3
IPI00300573,Q01432
IPI00300576,P43220
IPI00300584,Q9H201
IPI00300585,Q9HB90
IPI00300587,Q9H208
IPI00300599,P43235
IPI00300601,Q7L5Y1
IPI00300620,P13164
IPI00300621,O15056
IPI00300622,Q9H227
IPI00300623,P20382
IPI00300631,Q15424
IPI00300659,Q6P1J9
IPI00300665,Q86SG2
IPI00300683,Q9NUD7
IPI00300697,Q9H270
IPI00300700,Q7RTN6
IPI00300717,Q9H1Y3
IPI00300725,P02538
IPI00300744,Q9NUH8
IPI00300753,Q496Y0
IPI00300776,O95677
IPI00300779,P34820
IPI00300786,P04745
IPI00300789,Q9NUL3
IPI00300805,Q6UWE0
IPI00300813,Q8N682
IPI00300835,Q9NPF7
IPI00300838,Q9H2A9
IPI00300852,Q9H2B4
IPI00300860,Q76G19
IPI00300865,Q8WW52
IPI00300877,Q9H2C8
IPI00300886,Q9H2D1
IPI00300890,O60462
IPI00300891,O60462
IPI00300903,Q9BYH8
IPI00300952,Q9H2H8
IPI00300956,Q9NRR4
IPI00300969,Q9NV72
IPI00300990,Q9Y3Y2
IPI00301010,Q8NBB4
IPI00301016,Q8NBC4
IPI00301021,P43307
IPI00301023,O75781
IPI00301028,Q6ZMU5
IPI00301031,P50539
IPI00301041,Q86U86
IPI00301051,Q8NBF2
IPI00301058,P50552
IPI00301071,Q9H320
IPI00301072,Q9H2S1
IPI00301073,Q9H322
IPI00301076,Q9H2S6
IPI00301078,P43351
IPI00301082,P43355
IPI00301096,Q9H339
IPI00301098,Q8NBI3
IPI00301104,P43363
IPI00301107,Q9UI26
IPI00301109,Q9H2U2
IPI00301116,Q17RM4
IPI00301139,Q9NVC6
IPI00301143,Q6UXB8
IPI00301144,Q8NBK3
IPI00301154,Q9H361
IPI00301163,Q8NBL1
IPI00301180,Q9H2X9
IPI00301185,Q9BWS9
IPI00301190,Q9HAW0
IPI00301201,Q8TAT2
IPI00301202,Q9H0U3
IPI00301204,Q8NBN7
IPI00301216,Q9NVG8
IPI00301218,Q9UMR7
IPI00301224,Q9NVH6
IPI00301227,Q8NBP0
IPI00301231,Q8NBP5
IPI00301250,Q8TE68
IPI00301252,Q86W42
IPI00301255,Q96ID5
IPI00301263,P27708
IPI00301279,Q9NZ01
IPI00301280,Q9BTV4
IPI00301283,Q9UKB1
IPI00301286,Q8NC38
IPI00301294,Q8NC44
IPI00301303,Q96CQ1
IPI00301305,Q9NZ09
IPI00301311,Q01105
IPI00301312,Q8NBV8
IPI00301317,Q9UQB3
IPI00301323,Q9NVP1
IPI00301346,Q9NW08
IPI00301360,Q9H3D4
IPI00301364,P63208
IPI00301395,Q9H3G5
IPI00301419,Q9UBW8
IPI00301421,Q86WB0
IPI00301432,Q9Y3C4
IPI00301434,Q9H3K6
IPI00301446,Q5T4F4
IPI00301459,Q8NCC3
IPI00301460,Q8NCC5
IPI00301464,Q16586
IPI00301465,Q8NCD3
IPI00301472,P22749
IPI00301475,Q9H3Q3
IPI00301489,P06132
IPI00301491,P06133
IPI00301494,Q8NCG5
IPI00301500,Q9H426
IPI00301503,P62995
IPI00301512,P42658
IPI00301517,Q6NSI4
IPI00301518,Q9H8S9
IPI00301527,P19419
IPI00301528,Q9H3U7
IPI00301554,Q6N075
IPI00301561,Q15654
IPI00301583,Q5VV52
IPI00301595,Q8TEW0
IPI00301597,Q8TEW0
IPI00301605,Q8TEW0
IPI00301609,Q8TD19
IPI00301610,Q15714
IPI00301617,Q53TS8
IPI00301618,O60524
IPI00301631,Q9H497
IPI00301647,Q53GS7
IPI00301648,Q6TCH7
IPI00301658,Q7L0X2
IPI00301676,Q8ND23
IPI00301689,Q8ND30
IPI00301699,Q9Y6Z4
IPI00301711,Q8NCU7
IPI00301719,Q96Q11
IPI00301726,Q8ND61
IPI00301738,Q9H4B6
IPI00301743,Q8NCX0
IPI00301791,Q5W0U4
IPI00301793,Q9C0I1
IPI00301812,Q9H4F8
IPI00301841,Q9NX61
IPI00301844,Q9H4I2
IPI00301865,Q24JP5
IPI00301869,Q9HBB8
IPI00301870,Q9BU19
IPI00301894,Q13133
IPI00301907,P50747
IPI00301923,P50750
IPI00301926,Q9H4R4
IPI00301950,Q15726
IPI00301961,P29120
IPI00301968,Q5JUW0
IPI00301971,Q8IWV1
IPI00301987,Q9NXC5
IPI00301994,Q6P2I3
IPI00302008,Q9C0G0
IPI00302010,Q53TQ3
IPI00302028,Q7L3B6
IPI00302030,Q15771
IPI00302045,Q15784
IPI00302076,Q9NXJ0
IPI00302085,Q9H2F5
IPI00302112,O14733
IPI00302130,Q8NE63
IPI00302133,Q9NQA5
IPI00302135,Q9BXB7
IPI00302149,Q8NDX5
IPI00302151,Q9NVE4
IPI00302156,Q14C86
IPI00302158,Q86W92
IPI00302162,Q99102
IPI00302176,Q9NY12
IPI00302181,Q8IZS8
IPI00302227,Q6PEZ8
IPI00302238,Q9NY61
IPI00302242,Q9NY64
IPI00302258,Q99102
IPI00302281,Q9NY93
IPI00302283,Q9HD40
IPI00302291,P20719
IPI00302293,Q8NEA4
IPI00302301,Q5T9G4
IPI00302302,Q86Z02
IPI00302311,Q5T0L3
IPI00302313,Q8NEC5
IPI00302318,Q9H190
IPI00302329,P13535
IPI00302335,P43626
IPI00302339,Q9H5Q3
IPI00302344,Q9C093
IPI00302351,Q9BYT3
IPI00302352,P43630
IPI00302370,Q8NEG5
IPI00302434,P54257
IPI00302435,P54257
IPI00302436,Q08623
IPI00302453,Q9NYC9
IPI00302458,Q9UIA9
IPI00302467,Q8NEL0
IPI00302479,Q9HC96
IPI00302490,Q8NEM8
IPI00302491,Q8WTR4
IPI00302538,Q8IU68
IPI00302544,Q969R5
IPI00302552,Q8NER5
IPI00302557,Q75VX8
IPI00302567,Q30KQ8
IPI00302592,P21333
IPI00302598,Q8NEV9
IPI00302599,O95922
IPI00302605,Q8NEW0
IPI00302607,Q8NF64
IPI00302641,Q9NYQ8
IPI00302644,Q8NEY4
IPI00302647,Q6P1N0
IPI00302652,Q6P2C8
IPI00302658,Q9H6D7
IPI00302660,Q8NEZ2
IPI00302673,Q5TC12
IPI00302674,Q9H6E4
IPI00302679,Q14766
IPI00302688,Q9NTX5
IPI00302689,Q9BQY9
IPI00302690,Q9NZ32
IPI00302693,Q9NYT6
IPI00302712,Q13409
IPI00302740,P22090
IPI00302742,Q7L4P6
IPI00302755,Q9NYW8
IPI00302787,Q9NYY3
IPI00302796,O95236
IPI00302829,P06400
IPI00302837,Q9H6P5
IPI00302839,P20853
IPI00302840,P13637
IPI00302850,P62314
IPI00302860,Q9H6R0
IPI00302864,Q8TE67
IPI00302870,Q15915
IPI00302872,Q9H720
IPI00302884,P10073
IPI00302895,Q96DC9
IPI00302917,Q4LE39
IPI00302927,P50991
IPI00302941,Q8NFK1
IPI00302944,Q99715
IPI00302965,A4D1P6
IPI00302966,Q96AE7
IPI00302979,Q9H777
IPI00302984,Q8NFM7
IPI00302990,Q9H6Y2
IPI00303002,P29377
IPI00303030,Q8WXC3
IPI00303045,Q5VWK5
IPI00303046,Q5BVD1
IPI00303053,Q9NZJ5
IPI00303059,Q8NG11
IPI00303071,Q9NZK5
IPI00303074,Q8NAC3
IPI00303075,Q6UW49
IPI00303099,Q53HL2
IPI00303105,P63165
IPI00303112,Q8NFU7
IPI00303117,Q9P2S6
IPI00303118,Q9P2S6
IPI00303120,Q96AN5
IPI00303131,Q9NZN9
IPI00303133,Q93079
IPI00303135,Q8TAT5
IPI00303136,Q16760
IPI00303152,Q8NFW1
IPI00303158,Q8NFW8
IPI00303160,Q96AP4
IPI00303161,Q96AP7
IPI00303174,Q93099
IPI00303182,Q96AQ1
IPI00303200,Q9NZQ9
IPI00303203,Q8NG81
IPI00303207,P61221
IPI00303210,Q13822
IPI00303214,Q2T9J0
IPI00303226,Q8NG92
IPI00303230,Q8NG98
IPI00303236,Q5T4I8
IPI00303253,Q96B45
IPI00303258,Q9NZU5
IPI00303260,Q8TC05
IPI00303270,Q9NZV8
IPI00303276,Q53G44
IPI00303280,Q9NZW5
IPI00303283,P05106
IPI00303290,Q96B77
IPI00303292,P52294
IPI00303297,Q9H1X3
IPI00303300,Q96AY3
IPI00303317,A8K855
IPI00303318,Q9NUQ9
IPI00303323,Q8NGA0
IPI00303328,Q8NGA8
IPI00303331,Q9H7M6
IPI00303333,Q9H7M9
IPI00303335,P20929
IPI00303337,Q8NGB2
IPI00303341,P98066
IPI00303342,Q9H7N3
IPI00303343,Q9H7N4
IPI00303352,Q8NGC6
IPI00303364,Q8NGD3
IPI00303368,Q9UHI7
IPI00303372,Q96C12
IPI00303373,Q9H7P9
IPI00303374,Q8NGE1
IPI00303376,Q8NGE3
IPI00303383,Q6UUV9
IPI00303388,Q8NGF0
IPI00303389,Q8NGF1
IPI00303394,Q8NGF8
IPI00303395,Q8NGF9
IPI00303397,O60271
IPI00303401,Q9H813
IPI00303402,Q9H814
IPI00303418,Q8NGG7
IPI00303430,Q8NGH5
IPI00303431,Q8NGH6
IPI00303432,Q8NGH8
IPI00303434,Q96BA8
IPI00303451,Q8NGI9
IPI00303452,Q15043
IPI00303458,P62068
IPI00303463,Q8NGJ1
IPI00303464,Q8NGJ3
IPI00303465,Q8NGJ4
IPI00303476,P06576
IPI00303481,Q8NGK1
IPI00303482,Q08830
IPI00303483,Q8NGK2
IPI00303484,Q8NGK3
IPI00303486,Q8NGK5
IPI00303512,Q8NGL6
IPI00303515,Q8NGL9
IPI00303530,Q2M296
IPI00303550,P45984
IPI00303556,Q8NGN5
IPI00303558,Q8NGN7
IPI00303559,Q8NGN8
IPI00303560,Q6ZN18
IPI00303568,Q9H7Z7
IPI00303575,P23945
IPI00303576,Q8NGP0
IPI00303579,Q8NGP2
IPI00303582,Q8NGP6
IPI00303583,Q8NGP8
IPI00303587,Q8NH00
IPI00303589,Q8NGQ2
IPI00303594,Q8NGQ5
IPI00303595,Q9HA47
IPI00303601,Q8NH09
IPI00303602,Q96BJ3
IPI00303609,Q8NH10
IPI00303615,Q8NGR5
IPI00303621,Q8NH19
IPI00303622,Q8NGR9
IPI00303629,Q8NGS3
IPI00303630,Q8NGS4
IPI00303646,Q8NGT7
IPI00303654,Q8NH42
IPI00303663,Q8NGU9
IPI00303664,Q8NH49
IPI00303670,Q8NGV0
IPI00303677,Q8NH56
IPI00303683,Q8NH60
IPI00303684,Q8NH61
IPI00303685,Q8NGW1
IPI00303696,Q8NH69
IPI00303699,Q96D31
IPI00303705,Q8NGX0
